Event,Type,Net,Length,Maturity,Board,Dorsal,Lateral
23,RMT8,1,58,MA1,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,52,MA1,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,53,FA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,52,FA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,54,FA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,54,MA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,53,MA1,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,51,MA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,50,FA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,54,MA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,56,MA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,54,MA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,51,MA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,50,FA1,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,56,FA1,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,53,MA1,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,55,FA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,55,MA2,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,54,FA1,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,47,FA1,1,Event_23_Net_1_Board_1_Dorsal.JPG,Event_23_Net_1_Board_1_Lateral.JPG
23,RMT8,1,51,FA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,52,MA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,50,MA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,55,FA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,44,FA1,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,53,MA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,57,FA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,50,FA1,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,51,FA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,51,MA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,50,MA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,54,MA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,49,FA1,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,50,FA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,57,FA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,50,MA1,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,57,MA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,56,FA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,57,MA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,54,FA2,2,Event_23_Net_1_Board_2_Dorsal.JPG,Event_23_Net_1_Board_2_Lateral.JPG
23,RMT8,1,48,MA1,3,Event_23_Net_1_Board_3_Dorsal.JPG,Event_23_Net_1_Board_3_Lateral.JPG
23,RMT8,1,51,FA1,3,Event_23_Net_1_Board_3_Dorsal.JPG,Event_23_Net_1_Board_3_Lateral.JPG
23,RMT8,1,55,MA1,3,Event_23_Net_1_Board_3_Dorsal.JPG,Event_23_Net_1_Board_3_Lateral.JPG
23,RMT8,1,51,MA2,3,Event_23_Net_1_Board_3_Dorsal.JPG,Event_23_Net_1_Board_3_Lateral.JPG
23,RMT8,1,54,FA2,3,Event_23_Net_1_Board_3_Dorsal.JPG,Event_23_Net_1_Board_3_Lateral.JPG
23,RMT8,1,55,FA2,3,Event_23_Net_1_Board_3_Dorsal.JPG,Event_23_Net_1_Board_3_Lateral.JPG
