Event,Type,Net,Length,Maturity,Board,Dorsal,Lateral
79,RMT8,1,49,FA2,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,30,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,28,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,30,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,22,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,22,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,31,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,23,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,29,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,31,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,30,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,29,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,38,M1,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,29,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,26,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,28,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,29,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,26,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,29,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,28,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,29,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,29,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,33,J,1,DSC_0063.TIFF,DSC_0062.TIFF
79,RMT8,1,23,J,2,DSC_0065.TIFF,DSC_0064.TIFF
79,RMT8,1,31,J,2,DSC_0065.TIFF,DSC_0064.TIFF
79,RMT8,1,30,J,2,DSC_0065.TIFF,DSC_0064.TIFF
79,RMT8,1,24,J,2,DSC_0065.TIFF,DSC_0064.TIFF
79,RMT8,1,26,J,2,DSC_0065.TIFF,DSC_0064.TIFF
79,RMT8,1,28,J,2,DSC_0065.TIFF,DSC_0064.TIFF
79,RMT8,1,28,J,2,DSC_0065.TIFF,DSC_0064.TIFF
79,RMT8,1,33,J,2,DSC_0065.TIFF,DSC_0064.TIFF
79,RMT8,1,23,J,2,DSC_0065.TIFF,DSC_0064.TIFF
79,RMT8,1,26,J,2,DSC_0065.TIFF,DSC_0064.TIFF
